2026-07-08 09:18:52 | LOGIN                | Administrator | Khadija    | SUCCESS
2026-07-08 09:18:58 | FULL_SYSTEM_SCAN     | Administrator | Khadija    | SUCCESS
2026-07-08 09:19:10 | VIEW_HISTORY         | Administrator | Khadija    | SUCCESS
2026-07-08 09:19:20 | ACCESS_SETTINGS      | Administrator | Khadija    | SUCCESS
2026-07-08 09:19:35 | DATABASE_PURGE       | Administrator | Khadija    | PENDING
2026-07-08 09:40:10 | LOGIN                | Administrator | Khadija    | SUCCESS
2026-07-08 09:40:16 | FULL_SYSTEM_SCAN     | Administrator | Khadija    | SUCCESS
2026-07-08 09:56:08 | LOGIN                     | Administrator | Khadija    | SUCCESS
2026-07-08 09:56:22 | ACCESS_ADMIN_CONSOLE      | Administrator | Khadija    | SUCCESS
2026-07-08 09:58:26 | CREATE_USER_KHADIJA       | Administrator | Khadija    | SUCCESS
2026-07-08 09:58:38 | VIEW_AUDIT_LOGS           | Administrator | Khadija    | SUCCESS
2026-07-08 09:58:44 | VIEW_RAW_SCAN_DB          | Administrator | Khadija    | SUCCESS
2026-07-08 14:08:43 | LOGIN_ATTEMPT             | UNKNOWN       | Khadija    | FAILED
2026-07-08 14:09:04 | LOGIN_ATTEMPT             | UNKNOWN       | Cyberops2026 | FAILED
2026-07-08 14:09:18 | LOGIN                     | Administrator | Khadija    | SUCCESS
2026-07-08 14:09:52 | SYSTEM_INFO_SCAN          | Administrator | Khadija    | SUCCESS
2026-07-08 14:31:11 | LOGIN                     | Administrator | Khadija    | SUCCESS
2026-07-08 14:31:16 | NETWORK_INTEL_SCAN        | Administrator | Khadija    | SUCCESS
2026-07-08 14:49:15 | LOGIN                     | Administrator | Khadija    | SUCCESS
2026-07-08 14:49:20 | INTERNET_CONN_TEST        | Administrator | Khadija    | SUCCESS
2026-07-08 14:50:31 | INTERNET_CONN_TEST        | Administrator | Khadija    | SUCCESS
2026-07-16 16:54:20 | LOGIN                     | Administrator | Khadija    | SUCCESS
2026-07-16 16:54:34 | SYSTEM_INFO_SCAN          | Administrator | Khadija    | SUCCESS
2026-07-16 16:54:44 | NETWORK_INTEL_SCAN        | Administrator | Khadija    | SUCCESS
2026-07-16 16:54:58 | INTERNET_CONN_TEST        | Administrator | Khadija    | SUCCESS
2026-07-16 16:55:08 | PROCESS_INTEL_SCAN        | Administrator | Khadija    | SUCCESS
2026-07-16 16:55:38 | FULL_SYSTEM_SCAN          | Administrator | Khadija    | SUCCESS
2026-07-16 16:55:47 | VIEW_HISTORY              | Administrator | Khadija    | SUCCESS
2026-07-16 16:55:55 | VIEW_HISTORY              | Administrator | Khadija    | SUCCESS
2026-07-16 16:56:06 | ACCESS_ADMIN_CONSOLE      | Administrator | Khadija    | SUCCESS
2026-07-16 16:56:16 | LOGOUT                    | Administrator | Khadija    | SUCCESS
2026-07-16 17:06:20 | LOGIN                     | Administrator | Khadija    | SUCCESS
2026-07-16 17:06:24 | DISK_USAGE_SCAN           | Administrator | Khadija    | SUCCESS
2026-07-16 17:17:04 | LOGIN                     | Administrator | Khadija    | SUCCESS
2026-07-16 17:17:10 | CPU_MEM_INTEL_SCAN        | Administrator | Khadija    | SUCCESS
2026-07-16 17:17:34 | DISK_USAGE_SCAN           | Administrator | Khadija    | SUCCESS
2026-07-16 17:17:38 | CPU_MEM_INTEL_SCAN        | Administrator | Khadija    | SUCCESS
2026-07-16 17:28:34 | LOGIN                     | Administrator | Khadija    | SUCCESS
2026-07-16 17:28:38 | CPU_MEM_INTEL_SCAN        | Administrator | Khadija    | SUCCESS
2026-07-16 17:32:08 | LOGIN                     | Administrator | Khadija    | SUCCESS
2026-07-16 17:32:11 | CPU_MEM_INTEL_SCAN        | Administrator | Khadija    | SUCCESS
2026-07-16 17:36:30 | LOGIN                     | Administrator | Khadija    | SUCCESS
2026-07-16 17:36:34 | CPU_MEM_INTEL_SCAN        | Administrator | Khadija    | SUCCESS
2026-07-16 18:17:39 | LOGIN                     | Administrator | Khadija    | SUCCESS
2026-07-16 18:18:01 | WINDOWS_SECURITY_SCAN     | Administrator | Khadija    | SUCCESS
2026-07-16 18:22:29 | LOGIN                     | Administrator | Khadija    | SUCCESS
2026-07-16 18:22:34 | FIREWALL_SCAN             | Administrator | Khadija    | SUCCESS
2026-07-16 18:22:45 | ANTIVIRUS_SCAN            | Administrator | Khadija    | SUCCESS
2026-07-16 18:23:00 | WINDOWS_SECURITY_SCAN     | Administrator | Khadija    | SUCCESS
2026-07-16 18:23:12 | CPU_MEM_INTEL_SCAN        | Administrator | Khadija    | SUCCESS
