[12:58:04] Type: PROCESS_CREATED | Details: filecoauth | Severity: LOW
[12:58:11] Type: PROCESS_CREATED | Details: backgroundtaskhost | Severity: LOW
[12:58:14] Type: PROCESS_CREATED | Details: smartscreen | Severity: LOW
[12:58:14] Type: PROCESS_CREATED | Details: windowsterminal | Severity: LOW
[12:58:14] Type: PROCESS_CREATED | Details: cmd | Severity: MEDIUM
[EID-1001] [13:55:53] Type: PROCESS_CREATED | Details: unknown.exe -> smartscreen.exe | Severity: LOW | MITRE: - (-)
[EID-1002] [13:55:53] Type: PROCESS_CREATED | Details: unknown.exe -> windowsterminal.exe | Severity: LOW | MITRE: - (-)
[EID-1003] [13:55:53] Type: PROCESS_CREATED | Details: unknown.exe -> cmd.exe | Severity: MEDIUM | MITRE: T1059.003 (Command and Scripting Interpreter: Windows Command Shell)
[EID-1004] [13:56:00] Type: PROCESS_CREATED | Details: unknown.exe -> filecoauth.exe | Severity: LOW | MITRE: - (-)
[EID-1005] [13:58:08] Type: PROCESS_CREATED | Details: unknown.exe -> searchprotocolhost.exe | Severity: LOW | MITRE: - (-)
[EID-1006] [13:58:15] Type: PROCESS_CREATED | Details: unknown.exe -> filecoauth.exe | Severity: LOW | MITRE: - (-)
[EID-1001] [14:11:56] Type: PROCESS_CREATED | Details: svchost.exe -> windowsterminal.exe | Severity: LOW | MITRE: - (-)
[EID-1002] [14:11:56] Type: PROCESS_CREATED | Details: explorer.exe -> cmd.exe | Severity: MEDIUM | MITRE: T1059.003 (Command and Scripting Interpreter: Windows Command Shell)
[EID-1003] [14:11:56] Type: PROCESS_CREATED | Details: svchost.exe -> smartscreen.exe | Severity: LOW | MITRE: - (-)
[EID-1004] [14:12:02] Type: PROCESS_CREATED | Details: svchost.exe -> filecoauth.exe | Severity: LOW | MITRE: - (-)
[EID-1005] [14:13:03] Type: PROCESS_CREATED | Details: searchindexer.exe -> searchprotocolhost.exe | Severity: LOW | MITRE: - (-)
[EID-1006] [14:13:09] Type: PROCESS_CREATED | Details: svchost.exe -> filecoauth.exe | Severity: LOW | MITRE: - (-)
[EID-1007] [14:20:48] Type: PROCESS_CREATED | Details: svchost.exe -> smartscreen.exe | Severity: LOW | MITRE: - (-)
[EID-1008] [14:20:48] Type: PROCESS_CREATED | Details: explorer.exe -> cmd.exe | Severity: MEDIUM | MITRE: T1059.003 (Command and Scripting Interpreter: Windows Command Shell)
[EID-1009] [14:20:51] Type: PROCESS_CREATED | Details: svchost.exe -> windowsterminal.exe | Severity: LOW | MITRE: - (-)
[EID-1010] [14:20:51] Type: PROCESS_CREATED | Details: services.exe -> sppsvc.exe | Severity: LOW | MITRE: - (-)
[EID-1011] [14:20:54] Type: PROCESS_CREATED | Details: svchost.exe -> filecoauth.exe | Severity: LOW | MITRE: - (-)
